policy,case_id,kind,split,condition,task_index,layout,endpoint,steps
native,Px_01_22_minus_y,P,train,minus_y,17,Px_01_22,True,125
best,Px_01_22_minus_y,P,train,minus_y,17,Px_01_22,True,145
stage2_best,Px_01_22_minus_y,P,train,minus_y,17,Px_01_22,True,265
native,Px_01_22_plus_y,P,train,plus_y,17,Px_01_22,True,130
best,Px_01_22_plus_y,P,train,plus_y,17,Px_01_22,True,120
stage2_best,Px_01_22_plus_y,P,train,plus_y,17,Px_01_22,True,130
native,Px_01_26_normal,P,train,normal,17,Px_01_26,True,125
best,Px_01_26_normal,P,train,normal,17,Px_01_26,True,135
stage2_best,Px_01_26_normal,P,train,normal,17,Px_01_26,True,145
native,Px_01_26_minus_y,P,train,minus_y,17,Px_01_26,True,120
best,Px_01_26_minus_y,P,train,minus_y,17,Px_01_26,True,125
stage2_best,Px_01_26_minus_y,P,train,minus_y,17,Px_01_26,True,120
native,Px_01_26_plus_y,P,train,plus_y,17,Px_01_26,True,125
best,Px_01_26_plus_y,P,train,plus_y,17,Px_01_26,True,125
stage2_best,Px_01_26_plus_y,P,train,plus_y,17,Px_01_26,True,120
native,Px_01_34_normal,P,train,normal,17,Px_01_34,True,130
best,Px_01_34_normal,P,train,normal,17,Px_01_34,True,120
stage2_best,Px_01_34_normal,P,train,normal,17,Px_01_34,True,130
native,Px_01_34_minus_y,P,train,minus_y,17,Px_01_34,False,300
best,Px_01_34_minus_y,P,train,minus_y,17,Px_01_34,False,300
stage2_best,Px_01_34_minus_y,P,train,minus_y,17,Px_01_34,False,300
native,Px_01_34_plus_y,P,train,plus_y,17,Px_01_34,True,235
best,Px_01_34_plus_y,P,train,plus_y,17,Px_01_34,True,125
stage2_best,Px_01_34_plus_y,P,train,plus_y,17,Px_01_34,True,125
native,Px_01_44_normal,P,train,normal,17,Px_01_44,True,130
best,Px_01_44_normal,P,train,normal,17,Px_01_44,True,125
stage2_best,Px_01_44_normal,P,train,normal,17,Px_01_44,True,130
native,Px_01_44_minus_y,P,train,minus_y,17,Px_01_44,True,130
best,Px_01_44_minus_y,P,train,minus_y,17,Px_01_44,True,120
stage2_best,Px_01_44_minus_y,P,train,minus_y,17,Px_01_44,True,125
native,Px_01_44_plus_y,P,train,plus_y,17,Px_01_44,True,135
best,Px_01_44_plus_y,P,train,plus_y,17,Px_01_44,True,130
stage2_best,Px_01_44_plus_y,P,train,plus_y,17,Px_01_44,True,135
native,Px_04_22_normal,P,validation,normal,24,Px_04_22,True,170
best,Px_04_22_normal,P,validation,normal,24,Px_04_22,True,125
stage2_best,Px_04_22_normal,P,validation,normal,24,Px_04_22,True,135
native,Px_04_22_minus_y,P,validation,minus_y,24,Px_04_22,True,125
best,Px_04_22_minus_y,P,validation,minus_y,24,Px_04_22,True,125
stage2_best,Px_04_22_minus_y,P,validation,minus_y,24,Px_04_22,True,120
native,Px_04_22_plus_y,P,validation,plus_y,24,Px_04_22,True,120
best,Px_04_22_plus_y,P,validation,plus_y,24,Px_04_22,True,135
stage2_best,Px_04_22_plus_y,P,validation,plus_y,24,Px_04_22,True,170
native,Px_04_26_normal,P,validation,normal,24,Px_04_26,True,125
best,Px_04_26_normal,P,validation,normal,24,Px_04_26,True,165
stage2_best,Px_04_26_normal,P,validation,normal,24,Px_04_26,True,170
native,Px_04_26_minus_y,P,validation,minus_y,24,Px_04_26,True,300
best,Px_04_26_minus_y,P,validation,minus_y,24,Px_04_26,True,150
stage2_best,Px_04_26_minus_y,P,validation,minus_y,24,Px_04_26,True,150
native,Px_04_26_plus_y,P,validation,plus_y,24,Px_04_26,True,115
best,Px_04_26_plus_y,P,validation,plus_y,24,Px_04_26,True,150
stage2_best,Px_04_26_plus_y,P,validation,plus_y,24,Px_04_26,True,130
native,Px_04_34_normal,P,validation,normal,24,Px_04_34,True,170
best,Px_04_34_normal,P,validation,normal,24,Px_04_34,True,155
stage2_best,Px_04_34_normal,P,validation,normal,24,Px_04_34,True,130
native,Px_04_34_minus_y,P,validation,minus_y,24,Px_04_34,True,125
best,Px_04_34_minus_y,P,validation,minus_y,24,Px_04_34,True,125
stage2_best,Px_04_34_minus_y,P,validation,minus_y,24,Px_04_34,True,125
native,Px_04_34_plus_y,P,validation,plus_y,24,Px_04_34,True,115
best,Px_04_34_plus_y,P,validation,plus_y,24,Px_04_34,True,130
stage2_best,Px_04_34_plus_y,P,validation,plus_y,24,Px_04_34,True,125
native,Px_04_44_normal,P,validation,normal,24,Px_04_44,True,110
best,Px_04_44_normal,P,validation,normal,24,Px_04_44,True,130
stage2_best,Px_04_44_normal,P,validation,normal,24,Px_04_44,True,125
native,Px_04_44_minus_y,P,validation,minus_y,24,Px_04_44,True,155
best,Px_04_44_minus_y,P,validation,minus_y,24,Px_04_44,True,140
stage2_best,Px_04_44_minus_y,P,validation,minus_y,24,Px_04_44,True,135
native,Px_04_44_plus_y,P,validation,plus_y,24,Px_04_44,True,140
best,Px_04_44_plus_y,P,validation,plus_y,24,Px_04_44,True,140
stage2_best,Px_04_44_plus_y,P,validation,plus_y,24,Px_04_44,True,135
native,Sx_00_22_normal,S,train,normal,0,Sx_00_22,True,245
best,Sx_00_22_normal,S,train,normal,0,Sx_00_22,True,235
stage2_best,Sx_00_22_normal,S,train,normal,0,Sx_00_22,True,250
native,Sx_00_22_camera,S,train,camera,0,Sx_00_22,True,235
best,Sx_00_22_camera,S,train,camera,0,Sx_00_22,True,280
stage2_best,Sx_00_22_camera,S,train,camera,0,Sx_00_22,True,265
native,Sx_00_22_lighting,S,train,lighting,0,Sx_00_22,True,235
best,Sx_00_22_lighting,S,train,lighting,0,Sx_00_22,True,235
stage2_best,Sx_00_22_lighting,S,train,lighting,0,Sx_00_22,True,235
native,Sx_00_22_combined,S,train,combined,0,Sx_00_22,True,225
best,Sx_00_22_combined,S,train,combined,0,Sx_00_22,True,255
stage2_best,Sx_00_22_combined,S,train,combined,0,Sx_00_22,True,260
native,Sx_00_26_normal,S,train,normal,0,Sx_00_26,True,250
best,Sx_00_26_normal,S,train,normal,0,Sx_00_26,True,270
stage2_best,Sx_00_26_normal,S,train,normal,0,Sx_00_26,True,265
native,Sx_00_26_camera,S,train,camera,0,Sx_00_26,True,235
best,Sx_00_26_camera,S,train,camera,0,Sx_00_26,True,290
stage2_best,Sx_00_26_camera,S,train,camera,0,Sx_00_26,False,500
native,Sx_00_26_lighting,S,train,lighting,0,Sx_00_26,True,270
best,Sx_00_26_lighting,S,train,lighting,0,Sx_00_26,True,260
stage2_best,Sx_00_26_lighting,S,train,lighting,0,Sx_00_26,True,260
native,Sx_00_26_combined,S,train,combined,0,Sx_00_26,True,240
best,Sx_00_26_combined,S,train,combined,0,Sx_00_26,True,290
stage2_best,Sx_00_26_combined,S,train,combined,0,Sx_00_26,False,500
native,Sx_00_34_normal,S,train,normal,0,Sx_00_34,True,260
best,Sx_00_34_normal,S,train,normal,0,Sx_00_34,True,260
stage2_best,Sx_00_34_normal,S,train,normal,0,Sx_00_34,True,260
native,Sx_00_34_camera,S,train,camera,0,Sx_00_34,False,500
best,Sx_00_34_camera,S,train,camera,0,Sx_00_34,False,500
stage2_best,Sx_00_34_camera,S,train,camera,0,Sx_00_34,False,500
native,Sx_00_34_lighting,S,train,lighting,0,Sx_00_34,True,265
best,Sx_00_34_lighting,S,train,lighting,0,Sx_00_34,True,260
stage2_best,Sx_00_34_lighting,S,train,lighting,0,Sx_00_34,True,260
native,Sx_00_34_combined,S,train,combined,0,Sx_00_34,False,500
best,Sx_00_34_combined,S,train,combined,0,Sx_00_34,False,500
stage2_best,Sx_00_34_combined,S,train,combined,0,Sx_00_34,True,255
native,Sx_00_44_normal,S,train,normal,0,Sx_00_44,True,245
best,Sx_00_44_normal,S,train,normal,0,Sx_00_44,True,250
stage2_best,Sx_00_44_normal,S,train,normal,0,Sx_00_44,True,230
native,Sx_00_44_camera,S,train,camera,0,Sx_00_44,False,500
best,Sx_00_44_camera,S,train,camera,0,Sx_00_44,True,260
stage2_best,Sx_00_44_camera,S,train,camera,0,Sx_00_44,True,245
native,Sx_00_44_lighting,S,train,lighting,0,Sx_00_44,True,250
best,Sx_00_44_lighting,S,train,lighting,0,Sx_00_44,True,250
stage2_best,Sx_00_44_lighting,S,train,lighting,0,Sx_00_44,True,240
native,Sx_00_44_combined,S,train,combined,0,Sx_00_44,False,500
best,Sx_00_44_combined,S,train,combined,0,Sx_00_44,True,250
stage2_best,Sx_00_44_combined,S,train,combined,0,Sx_00_44,True,235
native,Sx_05_22_normal,S,validation,normal,5,Sx_05_22,True,440
best,Sx_05_22_normal,S,validation,normal,5,Sx_05_22,True,295
stage2_best,Sx_05_22_normal,S,validation,normal,5,Sx_05_22,True,295
native,Sx_05_22_camera,S,validation,camera,5,Sx_05_22,True,255
best,Sx_05_22_camera,S,validation,camera,5,Sx_05_22,True,310
stage2_best,Sx_05_22_camera,S,validation,camera,5,Sx_05_22,True,310
native,Sx_05_22_lighting,S,validation,lighting,5,Sx_05_22,True,460
best,Sx_05_22_lighting,S,validation,lighting,5,Sx_05_22,True,295
stage2_best,Sx_05_22_lighting,S,validation,lighting,5,Sx_05_22,True,295
native,Sx_05_22_combined,S,validation,combined,5,Sx_05_22,True,260
best,Sx_05_22_combined,S,validation,combined,5,Sx_05_22,True,335
stage2_best,Sx_05_22_combined,S,validation,combined,5,Sx_05_22,True,375
native,Sx_05_26_normal,S,validation,normal,5,Sx_05_26,False,500
best,Sx_05_26_normal,S,validation,normal,5,Sx_05_26,True,305
stage2_best,Sx_05_26_normal,S,validation,normal,5,Sx_05_26,True,295
native,Sx_05_26_camera,S,validation,camera,5,Sx_05_26,True,255
best,Sx_05_26_camera,S,validation,camera,5,Sx_05_26,True,260
stage2_best,Sx_05_26_camera,S,validation,camera,5,Sx_05_26,True,245
native,Sx_05_26_lighting,S,validation,lighting,5,Sx_05_26,False,500
best,Sx_05_26_lighting,S,validation,lighting,5,Sx_05_26,True,340
stage2_best,Sx_05_26_lighting,S,validation,lighting,5,Sx_05_26,True,295
