kind,task_index,source,our_training_split,target_object,condition,policy,correct_or_successful,episodes,scope_complete
S,18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,,combined,best,4,4,True
S,18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,,combined,native,4,4,True
S,18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,,lighting,best,4,4,True
S,18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,,lighting,native,4,4,True
S,18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,,normal,best,4,4,True
S,18,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet_demo,train,,normal,native,4,4,True
S,19,libero_goal/turn_on_the_stove_demo,train,,camera,best,4,4,True
S,19,libero_goal/turn_on_the_stove_demo,train,,camera,native,4,4,True
S,19,libero_goal/turn_on_the_stove_demo,train,,combined,best,4,4,True
S,19,libero_goal/turn_on_the_stove_demo,train,,combined,native,4,4,True
S,19,libero_goal/turn_on_the_stove_demo,train,,lighting,best,4,4,True
S,19,libero_goal/turn_on_the_stove_demo,train,,lighting,native,4,4,True
S,19,libero_goal/turn_on_the_stove_demo,train,,normal,best,4,4,True
S,19,libero_goal/turn_on_the_stove_demo,train,,normal,native,4,4,True
S,20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,,camera,best,3,4,True
S,20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,,camera,native,4,4,True
S,20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,,combined,best,4,4,True
S,20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,,combined,native,4,4,True
S,20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,,lighting,best,4,4,True
S,20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,,lighting,native,4,4,True
S,20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,,normal,best,4,4,True
S,20,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo,train,,normal,native,4,4,True
