kind,case_id,layout,task_index,our_training_split,target_object,condition,policy,correct_or_successful,control_steps,wall_seconds,axis_displacement_m,target_index,manual_seed
P,Px_05_26_normal,Px_05_26,9,test,black_book_1,normal,best,True,155,28.245222142897546,,,12243
P,Px_05_26_minus_y,Px_05_26,9,test,black_book_1,minus_y,native,True,145,22.221824266016483,,,12243
P,Px_05_26_minus_y,Px_05_26,9,test,black_book_1,minus_y,best,True,185,32.21227643080056,,,12243
P,Px_05_26_plus_y,Px_05_26,9,test,black_book_1,plus_y,native,True,165,23.57120157685131,,,12243
P,Px_05_26_plus_y,Px_05_26,9,test,black_book_1,plus_y,best,True,185,32.37787912040949,,,12243
P,Px_05_34_normal,Px_05_34,9,test,black_book_1,normal,native,True,160,23.38963215239346,,,12251
P,Px_05_34_normal,Px_05_34,9,test,black_book_1,normal,best,True,180,31.9234857019037,,,12251
P,Px_05_34_minus_y,Px_05_34,9,test,black_book_1,minus_y,native,True,150,22.49559582490474,,,12251
P,Px_05_34_minus_y,Px_05_34,9,test,black_book_1,minus_y,best,True,170,45.31037725135684,,,12251
P,Px_05_34_plus_y,Px_05_34,9,test,black_book_1,plus_y,native,True,170,24.86457778979093,,,12251
P,Px_05_34_plus_y,Px_05_34,9,test,black_book_1,plus_y,best,True,180,34.50194892473519,,,12251
P,Px_05_44_normal,Px_05_44,9,test,black_book_1,normal,native,True,190,26.59491267707199,,,12261
P,Px_05_44_normal,Px_05_44,9,test,black_book_1,normal,best,True,165,30.464503107592463,,,12261
P,Px_05_44_minus_y,Px_05_44,9,test,black_book_1,minus_y,native,True,165,24.37788979522884,,,12261
P,Px_05_44_minus_y,Px_05_44,9,test,black_book_1,minus_y,best,True,170,31.21761278156191,,,12261
P,Px_05_44_plus_y,Px_05_44,9,test,black_book_1,plus_y,native,True,165,24.578682157211006,,,12261
P,Px_05_44_plus_y,Px_05_44,9,test,black_book_1,plus_y,best,True,175,31.70197268202901,,,12261
S,Sx_00_22_normal,Sx_00_22,0,train,,normal,native,True,245,30.15767501387745,,,3239
S,Sx_00_22_normal,Sx_00_22,0,train,,normal,best,True,235,37.17381205689162,,,3239
S,Sx_00_22_camera,Sx_00_22,0,train,,camera,native,True,235,29.103186477907002,,,3239
S,Sx_00_22_camera,Sx_00_22,0,train,,camera,best,True,280,43.86154149007052,,,3239
S,Sx_00_22_lighting,Sx_00_22,0,train,,lighting,native,True,235,28.970463308505714,,,3239
S,Sx_00_22_lighting,Sx_00_22,0,train,,lighting,best,True,235,37.42701361421496,,,3239
S,Sx_00_22_combined,Sx_00_22,0,train,,combined,native,True,225,27.97439508512616,,,3239
S,Sx_00_22_combined,Sx_00_22,0,train,,combined,best,True,255,40.35013257712126,,,3239
