policy,case_id,task_index,source,our_training_split,condition,episode,manual_seed,success,control_steps,max_steps,penalized_horizon_fraction,wall_seconds,peak_allocated_gib
best,S_04_40_camera,4,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,validation,camera,demo_40,5257,True,235,500,0.47,43.22663165349513,12.534913539886475
best,S_04_40_lighting,4,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,validation,lighting,demo_40,5257,True,245,500,0.49,44.49738259986043,12.534913539886475
best,S_04_40_combined,4,data/libero_raw/libero_10/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,validation,combined,demo_40,5257,True,235,500,0.47,43.232627044431865,12.534913539886475
best,S_05_30_normal,5,data/libero_raw/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo.hdf5,test,normal,demo_30,6247,False,500,500,1.0,78.10420518368483,12.53492784500122
best,S_05_30_camera,5,data/libero_raw/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo.hdf5,test,camera,demo_30,6247,True,175,500,0.35,32.10417145304382,12.53492784500122
best,S_05_30_lighting,5,data/libero_raw/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo.hdf5,test,lighting,demo_30,6247,False,500,500,1.0,78.54328152816743,12.53492784500122
best,S_05_30_combined,5,data/libero_raw/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo.hdf5,test,combined,demo_30,6247,True,170,500,0.34,31.56095126736909,12.53492784500122
best,S_05_40_normal,5,data/libero_raw/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo.hdf5,test,normal,demo_40,6257,True,180,500,0.36,32.63684162031859,12.53492784500122
best,S_05_40_camera,5,data/libero_raw/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo.hdf5,test,camera,demo_40,6257,True,190,500,0.38,33.916290525346994,12.53492784500122
best,S_05_40_lighting,5,data/libero_raw/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo.hdf5,test,lighting,demo_40,6257,True,185,500,0.37,33.49324076157063,12.53492784500122
best,S_05_40_combined,5,data/libero_raw/libero_10/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy_demo.hdf5,test,combined,demo_40,6257,True,190,500,0.38,34.449383586645126,12.53492784500122
best,S_06_30_normal,6,data/libero_raw/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,validation,normal,demo_30,7247,True,130,300,0.43333333333333335,26.228492540307343,12.534908771514893
best,S_06_30_camera,6,data/libero_raw/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,validation,camera,demo_30,7247,True,175,300,0.5833333333333334,33.00911444053054,12.534908771514893
best,S_06_30_lighting,6,data/libero_raw/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,validation,lighting,demo_30,7247,True,130,300,0.43333333333333335,26.01696044113487,12.534908771514893
best,S_06_30_combined,6,data/libero_raw/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,validation,combined,demo_30,7247,True,190,300,0.6333333333333333,34.74817430693656,12.534908771514893
best,S_06_40_normal,6,data/libero_raw/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,validation,normal,demo_40,7257,True,155,300,0.5166666666666667,29.41763988789171,12.534908771514893
best,S_06_40_camera,6,data/libero_raw/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,validation,camera,demo_40,7257,True,130,300,0.43333333333333335,25.916351731866598,12.534908771514893
best,S_06_40_lighting,6,data/libero_raw/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,validation,lighting,demo_40,7257,True,155,300,0.5166666666666667,29.509427511133254,12.534908771514893
best,S_06_40_combined,6,data/libero_raw/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,validation,combined,demo_40,7257,True,145,300,0.48333333333333334,28.063058976083994,12.534908771514893
best,S_07_30_normal,7,data/libero_raw/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,test,normal,demo_30,8247,True,135,300,0.45,26.48554704338312,12.534908771514893
best,S_07_30_camera,7,data/libero_raw/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,test,camera,demo_30,8247,True,130,300,0.43333333333333335,25.948823189362884,12.534908771514893
best,S_07_30_lighting,7,data/libero_raw/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,test,lighting,demo_30,8247,True,160,300,0.5333333333333333,30.201138257980347,12.534908771514893
best,S_07_30_combined,7,data/libero_raw/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,test,combined,demo_30,8247,True,135,300,0.45,26.69137853011489,12.534908771514893
best,S_07_40_normal,7,data/libero_raw/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,test,normal,demo_40,8257,True,165,300,0.55,30.93743757531047,12.534908771514893
best,S_07_40_camera,7,data/libero_raw/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,test,camera,demo_40,8257,True,135,300,0.45,26.552419804036617,12.534908771514893
best,S_07_40_lighting,7,data/libero_raw/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,test,lighting,demo_40,8257,True,140,300,0.4666666666666667,27.5504982592538,12.534908771514893
best,S_07_40_combined,7,data/libero_raw/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,test,combined,demo_40,8257,True,135,300,0.45,26.799403277225792,12.534908771514893
best,S_08_30_normal,8,data/libero_raw/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,train,normal,demo_30,9247,True,115,300,0.38333333333333336,23.68589133489877,12.534889698028564
