model_kind,effect_weight,steps,manual_seed,training_cases,blind,parameters,seconds,peak_allocated_bytes,source_report,split,family,episodes,loss,copy_gain,action_variance_explained
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_12,4,0.07255770824849606,0.14534814622815795,0.12444076058199371
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_16,4,0.06250269617885351,0.15829557050324583,0.137812739724001
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_19,4,0.06739805452525616,0.11008439060044539,0.10640902233944549
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,id_development,scene_20,4,0.18511704728007317,0.10461138843908524,0.03498769438375959
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,development,scene_13,12,0.0686447878057758,0.1449083823251378,0.11793655554332627
local,1.0,4000,29,250,False,381722,358.1480632079765,9126026240,runs/predictor_iterations_s11227/confirmation/live_s29/report.json,development,scene_21,12,0.08176130180557568,0.098768094212204,0.07927753512057045
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_01,28,0.08307361935398408,0.1779079777495659,0.14395409797851633
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_02,28,0.10334116712744747,0.1656648187635571,0.14541702348386576
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_03,28,0.1947263374126383,0.13496945344294087,0.08259537731311506
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_09,28,0.08049333255205836,0.1478143883358516,0.11395228473461816
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_10,28,0.11033451969602279,0.15866201584527884,0.13295513201428066
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_12,28,0.08412995229342154,0.17708226575874397,0.14806585389243965
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_16,28,0.06522985201861177,0.18557629051340452,0.16121137204285552
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_19,27,0.06124232116120833,0.1792873256879367,0.16535090572449385
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,train,scene_20,27,0.14479315722430194,0.1361245052441623,0.09308675516846243
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_01,4,0.10287266783416271,0.09824217339838603,0.05753407910419017
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_02,4,0.18555752746760845,0.08261783764307973,0.024792484610561827
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_03,4,0.2704427419230342,0.042268938883940343,0.002010781396994399
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_09,4,0.10731491073966026,0.10515898097543208,0.05998581450958118
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_10,4,0.12950389459729195,0.1237218136696242,0.11569939993159639
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_12,4,0.07093060296028852,0.16451369850946718,0.13810095478143591
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_16,4,0.06159835588186979,0.17047404087779483,0.1482265348657803
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_19,4,0.06574945244938135,0.13185232932425128,0.12226605642987642
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,id_development,scene_20,4,0.18323875591158867,0.1136964550239562,0.038381780558182754
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,development,scene_13,12,0.06756021827459335,0.1584186042158906,0.1298691865358872
local,1.0,4000,43,250,False,381722,359.0192214883864,9126026240,runs/predictor_iterations_s11227/confirmation/live_s43/report.json,development,scene_21,12,0.0804296787828207,0.11344620143513151,0.08694762887680452
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_01,28,0.09290009763623987,0.08066568271680219,-4.046331492091326e-09
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_02,28,0.11260011712355274,0.09091176595999662,-9.640613862771374e-09
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_03,28,0.2004860837810806,0.10938299906124249,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_09,28,0.08776613457926682,0.07081698932692693,-2.0457646687788156e-09
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_10,28,0.12153638207486697,0.07324403116958078,-9.112921084408754e-09
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_12,28,0.09425011037715844,0.07809186657979061,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_16,28,0.07534048573247024,0.059340532502618726,4.077615911590726e-09
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_19,27,0.06960997633911946,0.06715178724700388,4.898482397486248e-09
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,train,scene_20,27,0.15218144765606634,0.09204394802381699,-7.589346262548702e-09
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_01,4,0.10793157294392586,0.053896990437661274,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_02,4,0.1876107007265091,0.07246710676382462,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_03,4,0.2675804980099201,0.052405132152014255,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_09,4,0.11339672841131687,0.054445991649750836,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_10,4,0.13908777758479118,0.05887320329845791,-2.0544096424046643e-08
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_12,4,0.07972062565386295,0.060976674379220386,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_16,4,0.07089122571051121,0.04532984429591069,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_19,4,0.07207142561674118,0.04837777440619484,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,id_development,scene_20,4,0.18739189952611923,0.09360820518815682,0.0
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,development,scene_13,12,0.07602710742503405,0.052948601732834,-1.4256474223373061e-08
local,1.0,4000,17,250,True,381722,338.3107956815511,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_blind_s17/report.json,development,scene_21,12,0.08619561822464068,0.04988986760662506,0.0
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_01,28,0.08328426695827927,0.1758234205057152,0.1462265501167952
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_02,28,0.10193090220647198,0.1770507327331794,0.15515702928471953
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_03,28,0.19293737344975984,0.14291654727288527,0.08085906291688305
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_09,28,0.08089254796504974,0.1435878813678888,0.11051488678119037
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_10,28,0.11002086222703968,0.16105376000110927,0.13334441930329544
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_12,28,0.08396060086254563,0.1787387779994839,0.1476511485447083
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_16,28,0.06595622561872005,0.1765071931052956,0.1518373834509037
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_19,27,0.06141278354658021,0.17700294721377807,0.16339541563769966
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,train,scene_20,27,0.14573883182472652,0.13048235247271422,0.08511318872501816
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_01,4,0.10371625982224941,0.09084744267222356,0.051638978352347986
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_02,4,0.1838710531592369,0.09095563707858556,0.022551789806933065
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_03,4,0.2718272181227803,0.03736603096914726,-0.0019245816503610236
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_09,4,0.1069815531373024,0.1079386697860314,0.06396053757189879
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_10,4,0.12957386299967766,0.12324837783255038,0.11629141915824104
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_12,4,0.0707548689097166,0.16658365683254084,0.14100140320128773
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_16,4,0.06207625847309828,0.16403827486293465,0.1422876124465554
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_19,4,0.06635124329477549,0.12390635713436693,0.11552943673707095
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,id_development,scene_20,4,0.1841352880001068,0.10936003850396092,0.03384866009333176
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,development,scene_13,12,0.0675216717645526,0.15889876882386833,0.12579190616137692
local,1.0,4000,17,250,False,381722,343.4238831140101,9126026240,runs/predictor_iterations_s11227/refinement/local_effect1_live_s17/report.json,development,scene_21,12,0.0809123379488786,0.10812598477436108,0.08531629506677363
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_01,28,0.09257789262171302,0.08385420602939453,-4.046331492091326e-09
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_02,28,0.11289752727108342,0.08851059558192698,-7.7124910902171e-09
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_03,28,0.20028895419090986,0.11025870554960837,-1.2428194029467932e-08
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_09,28,0.0881838525778481,0.06639459486470378,0.0
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_10,28,0.12168971222958394,0.07207483694428207,0.0
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_12,28,0.09443813695439271,0.07625268326045265,3.738728215907372e-09
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_16,28,0.07541114185005426,0.05845835945454425,4.077615911590726e-09
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_19,27,0.06971749208039707,0.06571096119924003,-4.89848250850855e-09
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,train,scene_20,27,0.15182335840331185,0.09418040623993851,-1.1384019504845355e-08
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_01,4,0.10829890891909599,0.05067700890538496,0.0
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_02,4,0.18851753510534763,0.06798378725255494,-1.6061407315248744e-08
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_03,4,0.26753862015902996,0.052553436071302695,0.0
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_09,4,0.11369198374450207,0.05198401706114186,0.0
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_10,4,0.13939191214740276,0.05681530006894964,-2.0544096424046643e-08
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_12,4,0.07985198684036732,0.0594293807246975,-2.825047884513765e-08
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_16,4,0.07080049440264702,0.04655169468624887,0.0
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_19,4,0.07226279377937317,0.04585097276083727,0.0
local,3.0,4000,17,250,True,381722,342.81756046414375,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_blind_s17/report.json,id_development,scene_20,4,0.18728523701429367,0.09412411876701055,0.0
