model_kind,effect_weight,steps,manual_seed,training_cases,blind,parameters,seconds,peak_allocated_bytes,source_report,split,loss,swapped_loss,copy_loss,action_mse,target_action_mse,action_variance_explained,copy_relative_gain
local,3.0,4000,17,250,False,381722,342.8117328239605,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_live_s17/report.json,development,0.07459256673852603,0.09116507383684318,0.08549970590199034,0.12126617971807718,0.1357149596636494,0.10646416564085137,0.12756931791048887
local,3.0,4000,17,250,False,381722,342.8117328239605,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_live_s17/report.json,id_development,0.13177543402545983,0.1458455083063907,0.14534188672486278,0.1292931791394949,0.14018034914301503,0.07766545075738684,0.093341658107719
local,3.0,4000,17,250,False,381722,342.8117328239605,9126026240,runs/predictor_iterations_s11227/refinement/local_effect3_live_s17/report.json,train,0.10380756087601185,0.1241913930028677,0.12225065898895264,0.1167820727005601,0.1348022806495428,0.13367880619046357,0.15086297501764323
affine,0.0,1500,17,250,True,200984,164.04219624958932,9099045376,runs/predictor_iterations_s11227/screen/affine_effect0_blind/report.json,development,0.0819721935937802,0.0819721935937802,0.08549970590199034,0.13571496059497198,0.1357149596636494,-6.862342694091694e-09,0.04125759581271282
affine,0.0,1500,17,250,True,200984,164.04219624958932,9099045376,runs/predictor_iterations_s11227/screen/affine_effect0_blind/report.json,id_development,0.1393998054166635,0.1393998054166635,0.14534188672486278,0.14018034976389673,0.14018034914301503,-4.429163702468486e-09,0.040883474420886357
affine,0.0,1500,17,250,True,200984,164.04219624958932,9099045376,runs/predictor_iterations_s11227/screen/affine_effect0_blind/report.json,train,0.11611746823787689,0.11611746823787689,0.12225065898895264,0.134802281036973,0.1348022806495428,-2.8740625435119682e-09,0.050168979061536056
affine,0.0,1500,17,250,False,200984,162.06961605045944,9099045376,runs/predictor_iterations_s11227/screen/affine_effect0_live/report.json,development,0.07700127984086673,0.08769256218026082,0.08549970590199034,0.1260431387151281,0.1357149596636494,0.07126569519301018,0.09939713793712335
affine,0.0,1500,17,250,False,200984,162.06961605045944,9099045376,runs/predictor_iterations_s11227/screen/affine_effect0_live/report.json,id_development,0.13538386062201527,0.14336278620693418,0.14534188672486278,0.13573255803849962,0.14018034914301503,0.031729062823047105,0.06851449590508207
affine,0.0,1500,17,250,False,200984,162.06961605045944,9099045376,runs/predictor_iterations_s11227/screen/affine_effect0_live/report.json,train,0.11140178093314171,0.12143445025384426,0.12225065898895264,0.12746790647506714,0.1348022806495428,0.05440838344229104,0.08874290041079702
affine,1.0,1500,17,250,True,200984,164.03477521054447,9123130368,runs/predictor_iterations_s11227/screen/affine_effect1_blind/report.json,development,0.0822721291333437,0.0822721291333437,0.08549970590199034,0.13571496059497198,0.1357149596636494,-6.862342694091694e-09,0.037749565739401025
affine,1.0,1500,17,250,True,200984,164.03477521054447,9123130368,runs/predictor_iterations_s11227/screen/affine_effect1_blind/report.json,id_development,0.13922248190889755,0.13922248190889755,0.14534188672486278,0.14018034955693615,0.14018034914301503,-2.9527755796010524e-09,0.042103518496009906
affine,1.0,1500,17,250,True,200984,164.03477521054447,9123130368,runs/predictor_iterations_s11227/screen/affine_effect1_blind/report.json,train,0.116039361089468,0.116039361089468,0.12225065898895264,0.134802281036973,0.1348022806495428,-2.8740625435119682e-09,0.05080788889690924
affine,1.0,1500,17,250,False,200984,163.73234363552183,9123130368,runs/predictor_iterations_s11227/screen/affine_effect1_live/report.json,development,0.07676649978384376,0.08733134483918548,0.08549970590199034,0.12551353592425585,0.1357149596636494,0.0751680121681233,0.10214311296178724
affine,1.0,1500,17,250,False,200984,163.73234363552183,9123130368,runs/predictor_iterations_s11227/screen/affine_effect1_live/report.json,id_development,0.13532889613674748,0.14331593385173214,0.14534188672486278,0.13459721994068888,0.14018034914301503,0.03982818730626869,0.06889266964774055
affine,1.0,1500,17,250,False,200984,163.73234363552183,9123130368,runs/predictor_iterations_s11227/screen/affine_effect1_live/report.json,train,0.11128436823189258,0.12152970853447914,0.12225065898895264,0.12594287724792957,0.1348022806495428,0.06572146523726696,0.08970332632768097
local,0.0,1500,17,250,True,381722,164.6328972298652,9101941248,runs/predictor_iterations_s11227/screen/local_effect0_blind/report.json,development,0.08187861771633227,0.08187861771633227,0.08549970590199034,0.1357149612158537,0.1357149596636494,-1.1437237823486157e-08,0.04235205428436184
local,0.0,1500,17,250,True,381722,164.6328972298652,9101941248,runs/predictor_iterations_s11227/screen/local_effect0_blind/report.json,id_development,0.13708659033808443,0.13708659033808443,0.14534188672486278,0.14018035038477844,0.14018034914301503,-8.858327404936972e-09,0.05679915523875034
local,0.0,1500,17,250,True,381722,164.6328972298652,9101941248,runs/predictor_iterations_s11227/screen/local_effect0_blind/report.json,train,0.11333857297897339,0.11333857297897339,0.12225065898895264,0.13480228100717068,0.1348022806495428,-2.6529809460384968e-09,0.07290010609091768
local,0.0,1500,17,250,False,381722,161.28932888619602,9101941248,runs/predictor_iterations_s11227/screen/local_effect0_live/report.json,development,0.07523303292691708,0.08811249646047752,0.08549970590199034,0.12342147311816613,0.1357149596636494,0.09058313524132466,0.12007845953110197
local,0.0,1500,17,250,False,381722,161.28932888619602,9101941248,runs/predictor_iterations_s11227/screen/local_effect0_live/report.json,id_development,0.1320950033971005,0.14351110646708143,0.14534188672486278,0.13216235426565012,0.14018034914301503,0.05719770942491209,0.09114291568843524
local,0.0,1500,17,250,False,381722,161.28932888619602,9101941248,runs/predictor_iterations_s11227/screen/local_effect0_live/report.json,train,0.10618942549824714,0.120874851167202,0.12225065898895264,0.12278971763700247,0.1348022806495428,0.08911246126295469,0.13137952485112492
local,1.0,1500,17,250,True,381722,163.88641442824155,9126026240,runs/predictor_iterations_s11227/screen/local_effect1_blind/report.json,development,0.08185462405284245,0.08185462405284245,0.08549970590199034,0.13571496059497198,0.1357149596636494,-6.862342694091694e-09,0.04263268289280786
local,1.0,1500,17,250,True,381722,163.88641442824155,9126026240,runs/predictor_iterations_s11227/screen/local_effect1_blind/report.json,id_development,0.13686202435443798,0.13686202435443798,0.14534188672486278,0.14018034955693615,0.14018034914301503,-2.9527755796010524e-09,0.05834424309130837
local,1.0,1500,17,250,True,381722,163.88641442824155,9126026240,runs/predictor_iterations_s11227/screen/local_effect1_blind/report.json,train,0.1132173447161913,0.1132173447161913,0.12225065898895264,0.13480228115618229,0.1348022806495428,-3.758389599539669e-09,0.07389174297684276
local,1.0,1500,17,250,False,381722,162.5449733156711,9126026240,runs/predictor_iterations_s11227/screen/local_effect1_live/report.json,development,0.07465912991513808,0.08851238635058205,0.08549970590199034,0.12215417871872584,0.1357149596636494,0.09992104760250509,0.12679079854706143
local,1.0,1500,17,250,False,381722,162.5449733156711,9126026240,runs/predictor_iterations_s11227/screen/local_effect1_live/report.json,id_development,0.13230325436840454,0.14420146743456522,0.14534188672486278,0.1303909346461296,0.14018034914301503,0.06983442798318362,0.08971008048864004
local,1.0,1500,17,250,False,381722,162.5449733156711,9126026240,runs/predictor_iterations_s11227/screen/local_effect1_live/report.json,train,0.10641724333167076,0.12172159561514855,0.12225065898895264,0.12085323675721883,0.1348022806495428,0.10347780338070478,0.12951599433678873
